Date,Price,Open,High,Low,Change
10/30/2016,66.778,66.894,66.934,66.691,-0.0015
10/31/2016,66.686,66.779,66.8,66.65,-0.0014
11/1/2016,66.696,66.685,66.78,66.66,0.0001
11/2/2016,66.762,66.695,66.87,66.63,0.001
11/3/2016,66.668,66.778,66.798,66.63,-0.0014
11/4/2016,66.796,66.665,66.805,66.65,0.0019
11/5/2016,66.796,66.665,66.805,66.65,0.0019
11/6/2016,66.796,66.665,66.805,66.65,0.0019
11/7/2016,66.745,66.795,66.805,66.676,-0.0008
11/8/2016,66.246,66.745,66.748,66.242,-0.0075
11/9/2016,66.515,66.261,66.945,66.242,0.0041
11/10/2016,66.865,66.468,66.865,66.33,0.0053
11/11/2016,67.565,67.301,67.565,66.985,0.0105
11/12/2016,67.565,67.301,67.565,66.985,0.0105
11/13/2016,67.565,67.301,67.565,66.985,0.0105
11/14/2016,67.785,67.52,67.786,67.46,0.0033
11/15/2016,67.786,67.786,67.875,67.53,0
11/16/2016,67.999,67.785,68.12,67.618,0.0031
11/17/2016,68.023,67.983,68.075,67.767,0.0004
11/18/2016,68.191,68.03,68.25,67.94,0.0025
11/19/2016,68.191,68.03,68.25,67.94,0.0025
11/20/2016,68.191,68.03,68.25,67.94,0.0025
11/21/2016,68.228,68.185,68.293,68.02,0.0005
11/22/2016,68.396,68.225,68.49,68.06,0.0025
11/23/2016,68.784,68.395,68.881,68.36,0.0057
